conversation_id,question_id,category,question,gold_answer,generated_answer,correct,reasoning,time_seconds
1,9,single_hop,Which city have both Jean and John visited?,Rome,Rome,True,"The generated answer 'Rome' exactly matches the gold answer, so it is marked as correct.",3.79
2,0,temporal,"Who did Maria have dinner with on May 3, 2023?",her mother,I don't have that information,False,"The generated answer does not match the gold answer. The gold answer states that Maria had dinner with her mother on May 3, 2023, while the generated answer indicates a lack of information.",3.78
2,1,temporal,When did Maria donate her car?,21 December 2022,I don't have that information,False,"The generated answer does not provide the specific date when Maria donated her car, which is different from saying 'I don't have that information'.",4.42
2,2,single_hop,What martial arts has John done?,"Kickboxing, Taekwondo",I don't have that information,False,"The generated answer does not provide any information about the martial arts John has done, which is different from the gold answer that specifies Kickboxing and Taekwondo.",4.37
2,3,single_hop,What type of volunteering have John and Maria both done?,Volunteering at a homeless shelter,"John has volunteered as a mentor for a local school and is now part of the fire-fighting brigade. Maria has adopted a puppy from a shelter and volunteers at the front desk of an animal shelter. She also mentions spending time at another shelter to volunteer, though she doesn't specify the exact type of volunteering there.",False,"The generated answer does not mention any volunteering activities that both John and Maria have done together. The gold answer specifies that they both volunteered at a homeless shelter, but this information is missing in the generated answer.",4.17
2,4,temporal,When did John join the online support group?,The week before 1 January 2023,I don't have that information.,False,"The generated answer does not provide any information about when John joined the online support group, which is different from the gold answer that specifies the week before 1 January 2023.",4.42
2,5,temporal,When did Maria go to the beach?,December 2022,I don't have that information,False,"The generated answer does not provide the date when Maria went to the beach, which is different from the gold answer.",4.75
2,6,single_hop,Where has Maria made friends?,"homeless shelter, gym, church","Based on the conversation, Maria has made friends at a shelter where she volunteers at the front desk. This can be inferred from her statement: ""Last Friday, I spent some time at the shelter volunteering at the front desk."" Additionally, she mentions the power of kindness in making a difference in people's lives, indicating her involvement and connection with the shelter community.",False,"The generated answer does not match the gold answer. The gold answer mentions homeless shelter, gym, and church, while the generated answer only refers to a shelter where Maria volunteers at the front desk.",4.43
2,7,single_hop,What items des John mention having as a child?,"A doll, a film camera",I don't have that information,False,"The generated answer does not provide any information about the items John mentioned having as a child, which are 'A doll, a film camera' in the gold answer.",3.88
2,8,open_domain,What might John's financial status be?,Middle-class or wealthy,"Based on the conversation, I don't have that information. There are no mentions of John's financial status or any details about his income or expenses.",False,"The generated answer does not provide any information about John's financial status, while the gold answer suggests that his financial status might be middle-class or wealthy. Since the generated answer does not address this aspect, it is considered incorrect.",3.97
2,9,single_hop,Who gave Maria's family money when she was younger and her family was going through tough times?,Her aunt,I don't have that information,False,"The generated answer does not provide the information asked in the question. The gold answer states that Maria's aunt gave her family money when they were going through tough times, but the generated answer indicates a lack of information.",3.79
